mes,Macau,Macau,Macau,Macau,Mossoró,Mossoró,Mossoró,Mossoró,,Reanálise Merra-2 
ano,Prec,UR,temp,Rad,Prec,UR,temp,Rad,,
jan.-04,"413,1","70,92354839","27,07935484","35,75483871","302,34","79,55387097","27,03322581","36,12032258",,
fev.-04,"228,79","85,64793103","24,92965517","35,22482759","172,84","81,47896552","27,05","35,75862069",,
mar.-04,"125,11","83,21677419","25,04354839","35,01290323","128,63","78,9883871","27,22935484","35,85032258",,
abr.-04,"90,76","82,016","25,17766667","35,584","104,43","78,084","27,38666667","36,12133333",,
mai.-04,"64,47","74,21677419","25,5683871","34,83064516","152,53","79,36354839","26,82774194","35,22225806",,
jun.-04,"82,27","72,916","24,815","34,40966667","244,91","81,475","26,05166667","35,59433333",,
jul.-04,"24,23","62,34129032","25,56612903","33,38935484","193,35","82,01903226","25,28612903","34,80451613",,
ago.-04,"1,44","47,76290323","27,60419355","32,96419355","42,95","76,66612903","25,46290323","34,37806452",,
set.-04,"0,54","42,42933333","28,96033333","33,327","21,83","72,60133333","26,03333333","34,027",,
out.-04,"0,51","40,9216129","29,90967742","33,38774194","13,71","69,94612903","26,72290323","33,99967742",,
nov.-04,"0,44","40,543","30,06833333","33,66966667","7,38","69,05666667","27,03","34,15466667",,
dez.-04,"11,76","43,27548387","30,07096774","34,54774194","6,75","69,15129032","27,27354839","34,40258065",,
jan.-05,"77,49","54,76419355","28,65419355","35,41677419",16,"70,62129032","27,88354839","35,40032258",,
fev.-05,"100,34","63,38357143","28,11428571","36,22928571","36,09","72,86214286","28,21","35,82071429",,
mar.-05,"261,65","68,36806452","27,49967742","36,00225806","143,58","74,56548387","28,20322581","35,83935484",,
abr.-05,"65,72","78,847","25,79466667","35,41166667","72,28","77,64133333","27,85033333","36,14533333",,
mai.-05,"120,1","78,49322581","25,53129032","35,30032258","227,45","79,88451613","27,39967742","36,07",,
jun.-05,"61,57","73,24833333","25,27033333","34,86433333","362,58","83,844","25,99333333","35,66566667",,
jul.-05,"18,13","58,98129032","25,66096774","32,76193548","75,05","79,98774194","25,2916129","34,61193548",,
ago.-05,"9,66","49,97290323","27,16903226","33,44322581","73,03","76,94451613","25,32903226","34,49516129",,
set.-05,"0,91","43,52766667","28,31066667","32,563","21,2","73,087","25,72033333","34,15066667",,
out.-05,"11,62","40,91870968","29,49032258","32,59612903","53,15","71,33612903","26,23064516","33,73612903",,
